Eff,,Obj_A: % load met,Obj_B: Worst deficit (GW),Obj_C: Cost(£/MWh),Obj_D: CO2 (kg/MWh),GW_nuclear,GW_PV,GW_onshore_wind,GW_offshore_wind,GW_BECCS,GW_OCGT,GW_H2,h_H2,CV
0.18,30,98.70535737,-34.00196719,183.1470107,-56.44152162,5,69.13703246,20,96.525475,2.5,0.1123709,46.00476934,46.9513737,[0.]
0.18,31,100,0,127.84143,24.78846316,5,45.05994929,20,38.37999853,2.5,41.33060653,7.42144608,79.65579026,[0.]
0.18,32,96.16661537,-34.29797939,187.1864131,-56.50211351,5,34.66320821,20,67.34106418,2.5,0.723243075,46.53801103,951.9947954,[0.]
0.18,33,99.64433983,-17.1118135,133.4737915,8.557969985,5,73.67376634,20,35.35586362,2.5,22.54572951,24.33696101,37.94543201,[0.]
0.18,34,99.99645007,-4.379987999,147.0385105,-26.69129833,5,71.64229612,20,60.20050167,2.5,33.31475983,19.2800123,190.4859737,[0.]
0.18,35,84.73130066,-36.49285152,144.7016802,-26.25433101,5,28.92875499,20,28.01194382,2.5,3.830199271,47.61258155,162.880543,[0.]
0.18,36,99.01251714,-22.35781229,138.4894963,-9.661627713,5,70.01964299,20,43.00210252,2.5,16.60682671,28.41391482,105.0640828,[0.]
0.18,37,99.99901142,-2.926211709,150.9918062,-32.03244863,5,69.80481502,20,64.33516249,2.5,34.51991982,20.2889284,256.6735009,[0.]
0.18,38,99.99279801,-7.309186544,158.8299998,-44.32538246,5,84.82118384,20,70.27447792,2.5,29.77745156,23.98727774,281.6654828,[0.]
0.18,39,99.97357354,-18.78891317,177.1713361,-55.15482002,5,90.71891411,20,77.26393071,2.5,11.22555608,47.15493728,241.3864379,[0.]
0.18,40,100,0,125.0651217,34.85677581,5,51.59551317,20,32.40101309,2.5,41.54633241,5.071622761,71.1023561,[0.]
0.18,41,100,0,123.4930002,48.35016393,5,34.74670767,20,32.89771872,2.5,45.69460087,0.128450873,118.9170015,[0.]
0.18,42,99.05956979,-22.02357028,139.5035853,-7.282238845,5,72.8318584,20,41.11731701,2.5,17.11186844,30.59387921,108.56577,[0.]
0.18,43,100,0,163.6597571,-20.95007903,5,29.33958838,20,63.08428675,2.5,42.3256851,48.14416843,176.3931554,[0.]
0.18,44,100,0,120.4817532,65.1603685,5,51.7401155,20,20.83748432,2.5,44.56576644,0.209909118,20.55363822,[0.]
0.18,45,83.50396371,-39.149542,142.5226137,-55.12669296,5,56.00083488,20,26.88788284,2.5,1.275371469,46.16456729,162.5421894,[0.]
0.18,46,100,0,121.0032805,60.70665422,5,55.97461333,20,21.82612527,2.5,44.61199333,0.124158607,110.2115244,[0.]
0.18,47,82.68792195,-40.17513705,149.42684,-60.90533168,5,81.08801925,20,21.66314885,2.5,0.723243075,47.70048573,277.3730175,[0.]
0.18,48,99.9989711,-2.735056337,150.7159799,-30.87653331,5,70.47698565,20,64.33516249,2.5,34.7109852,19.24843091,256.6735009,[0.]
0.18,49,98.29356491,-32.98712095,166.5668015,-53.5426026,5,39.41523246,20,77.29557573,2.5,2.869835246,48.15660196,178.7749325,[0.]
0.18,50,95.12449871,-37.18022182,161.3536985,-56.94720644,5,68.39199584,20,56.74005279,2.5,0.723243075,49.15581569,258.870229,[0.]
0.18,51,99.96259546,-10.91618258,154.8337679,-36.76211893,5,61.50784291,20,73.2305037,2.5,25.99565543,18.22407352,357.4329294,[0.]
0.18,52,100,0,132.4847121,11.37732367,5,84.61932972,20,38.37999853,2.5,41.26602805,7.42144608,79.65579026,[0.]
0.18,53,99.99747768,-10.81038677,177.4685664,-54.92785018,5,81.11600193,20,78.61542791,2.5,19.05122432,45.80758216,263.2893352,[0.]
0.18,54,99.97579295,-9.094905908,150.978412,-33.76672112,5,65.10937787,20,68.53425696,2.5,28.0991137,19.33384399,208.6775416,[0.]
0.18,55,99.94559169,-15.71492839,160.7892713,-44.88714603,5,52.74822585,20,73.99202398,2.5,21.15224691,33.2374895,268.4970051,[0.]
0.18,56,100,0,120.2206764,73.19943307,5,40.75682902,20,20.35373016,2.5,46.52292066,0.044633866,15.37569449,[0.]
0.18,57,99.92138624,-20.33640842,174.8968588,-53.82069422,5,66.04741887,20,91.45741127,2.5,14.23719883,31.14714896,264.4856823,[0.]
0.18,58,100,0,125.5101525,33.54048424,5,51.59551317,20,33.06588645,2.5,41.54633241,5.071622761,119.939673,[0.]
0.18,59,100,0,126.8849433,29.8929797,5,55.830011,20,34.0545274,2.5,45.53814601,5.024884293,110.2115244,[0.]
0.18,60,92.58996434,-34.69670779,156.7123622,-43.25306717,5,30.5606035,20,52.2055546,2.5,3.484749843,48.14416843,267.1858371,[0.]
0.18,61,92.9932051,-34.60350883,156.9629996,-43.51753423,5,32.84661565,20,52.66685464,2.5,3.549877456,48.13865231,268.391181,[0.]
0.18,62,100,0,120.2625565,69.67574312,5,49.25765114,20,19.61479013,2.5,45.44384622,0.210826721,109.7663402,[0.]
0.18,63,95.99115673,-36.26352095,164.5399422,-56.79761998,5,23.14048621,20,74.13527835,2.5,0.598995586,45.87957906,268.1598009,[0.]
0.18,64,99.9626858,-12.84742703,167.8702256,-50.49579062,5,71.66895463,20,86.08680754,2.5,22.21286562,26.2462624,189.6284133,[0.]
0.18,65,99.99475486,-5.408932134,155.0657616,-35.7521034,5,59.82969254,20,69.30479979,2.5,31.73941584,29.50570575,88.44207267,[0.]
0.18,66,99.44804028,-19.85585379,182.6814959,-55.84035023,5,21.89249233,20,97.23494597,2.5,0.710391701,49.32044442,258.870229,[0.]
0.18,67,78.33449283,-39.80132888,179.3176564,-67.74622341,5,49.16679186,20,20.46599068,2.5,0.288019654,47.57204059,959.2664995,[0.]
0.18,68,81.76436768,-38.72066357,142.717406,-57.65614779,5,22.31913608,20,34.3454578,2.5,1.028442658,48.16234884,81.71170692,[0.]
